                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12381,                0.13829,                0.02757,                      0,              0.0032039,                0.20412,              0.0028533,             0.00093451,              0.0024272,                0.15464,              0.0017291,             0.00036113,                0.10888,               0.095437,               0.021881,                      0,                 0.0856,                 0.0016,                 0.0016
                      1,                0.09853,               0.082978,               0.037875,                      0,                0.14011,                0.13918,               0.060585,               0.013712,                 0.2054,                0.16907,                0.11165,               0.031158,               0.098219,               0.074829,               0.026039,                      0,               0.070235,              0.0032347,              0.0032347
                      2,               0.084057,               0.068187,               0.035082,                      0,                0.23054,                0.23814,                 0.1268,                0.04023,                0.20101,                0.22062,                0.12752,               0.042226,               0.084936,               0.079038,               0.020676,                      0,               0.054802,               0.004802,               0.004802
                      3,               0.080674,               0.065746,               0.032447,                      0,                0.28926,                0.25773,                0.17095,               0.054603,                0.31715,                0.26907,                0.21264,               0.075373,                0.08499,               0.065295,               0.019489,                      0,               0.039302,               0.006302,               0.006302
                      4,               0.077824,               0.063692,               0.030618,                      0,                 0.2096,                 0.2362,                0.13511,               0.035537,                0.27315,                0.30515,                0.21653,               0.070425,               0.085989,               0.064645,                0.02459,                      0,               0.023735,              0.0077347,              0.0077347
                      5,                0.07476,               0.061326,               0.029072,                      0,                0.33828,                 0.3647,                0.28204,                0.10523,                0.36317,                 0.3567,                0.29694,                0.12142,                0.07834,               0.066506,               0.021095,                      0,                0.00901,                0.00901,                0.00901
                      6,                0.07045,               0.060795,               0.028877,                      0,                0.47837,                0.32712,                0.31991,                0.11359,                0.48527,                0.35258,                0.34659,                0.13373,               0.074329,               0.072197,               0.023224,                      0,                0.00901,                0.00901,                0.00901
                      7,               0.067089,               0.059759,               0.028171,                      0,                0.39772,                0.35979,                0.28304,               0.096744,                0.43164,                0.30619,                 0.2841,                0.10072,               0.073908,               0.074548,               0.021355,                      0,               0.008812,               0.008812,               0.008812
                      8,               0.064288,               0.057895,               0.027553,                      0,                0.43685,                0.31134,                0.27073,                 0.1001,                0.50832,                0.34227,                0.33495,                0.11563,               0.073863,               0.071639,               0.022415,                      0,               0.008614,               0.008614,               0.008614
                      9,               0.062298,               0.056635,               0.027935,                      0,                0.47927,                0.36804,                 0.3426,                0.13726,                0.49817,                0.30412,                0.31691,                0.10977,               0.070545,               0.072194,               0.020084,                      0,               0.008416,               0.008416,               0.008416
                     10,               0.059579,               0.055135,               0.026509,                      0,                0.73948,                0.42723,                0.46575,                0.19718,                0.67987,                0.49485,                0.54162,                0.22523,               0.062463,               0.062103,               0.017902,                      0,               0.008218,               0.008218,               0.008218
                     11,               0.058973,               0.054906,               0.026499,                      0,                0.67332,                0.46804,                0.51653,                0.20861,                0.68191,                0.43196,                0.50822,                 0.2101,               0.060379,               0.060178,               0.017944,                      0,                0.00802,                0.00802,                0.00802
